school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,failures,paid,absences,G1,G2,G3,alc_use,high_use
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,no,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,yes,0,12,14,14,1,FALSE
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,no,1,14,14,15,2,FALSE
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,no,yes,yes,yes,yes,yes,no,5,4,4,2,4,5,0,no,1,12,12,11,3,TRUE
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,yes,2,10,10,9,1,FALSE
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,no,yes,no,no,yes,yes,no,1,2,2,1,3,5,1,yes,10,8,10,10,2,FALSE
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,no,yes,no,yes,yes,yes,no,4,2,2,1,2,5,0,yes,5,12,12,12,1.5,FALSE
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,yes,2,13,14,13,3,TRUE
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,0,no,3,12,12,12,1,FALSE
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,no,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,0,yes,10,11,12,12,5,TRUE
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,no,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,yes,0,10,11,12,3.5,TRUE
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,no,yes,yes,yes,yes,yes,no,4,3,1,1,1,5,0,no,1,16,16,16,1,FALSE
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,no,yes,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,no,0,15,15,16,1,FALSE
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,no,0,10,11,12,1,FALSE
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,no,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,yes,2,12,13,14,1,FALSE
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,no,yes,yes,yes,yes,no,no,3,5,1,1,1,5,0,no,2,10,9,8,1,FALSE
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,no,yes,yes,yes,yes,yes,no,5,4,3,1,1,4,0,no,1,14,15,16,1,FALSE
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,no,yes,yes,yes,yes,yes,yes,2,4,3,1,1,5,0,no,6,14,14,14,1,FALSE
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,yes,2,12,12,12,1,FALSE
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,0,yes,8,14,13,12,1,FALSE
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,no,yes,yes,no,yes,yes,yes,3,3,3,1,2,3,0,no,20,9,10,10,1.5,FALSE
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,no,yes,no,no,yes,yes,yes,5,4,3,2,4,5,0,no,8,11,12,12,3,TRUE
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,no,yes,yes,yes,yes,yes,no,4,3,3,1,1,5,0,no,1,16,16,16,1,FALSE
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,yes,yes,no,yes,yes,yes,no,5,4,1,1,1,1,0,no,0,8,9,10,1,FALSE
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,yes,no,yes,yes,yes,yes,no,4,3,3,2,2,5,1,no,14,10,10,10,2,FALSE
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,0,yes,6,9,10,8,1,FALSE
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,no,yes,no,yes,yes,yes,no,2,3,5,1,4,3,0,no,9,12,12,12,2.5,TRUE
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,0,no,3,18,18,18,1,FALSE
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,no,yes,no,yes,yes,no,no,4,3,3,2,2,5,0,yes,3,13,14,14,2,FALSE
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,yes,yes,yes,no,yes,yes,no,4,4,4,1,1,3,0,no,2,10,10,10,1,FALSE
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,no,yes,no,yes,yes,yes,no,4,3,3,2,3,4,0,yes,1,13,13,13,2.5,TRUE
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,0,yes,1,14,14,14,1,FALSE
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,no,no,no,yes,yes,no,no,5,5,5,3,4,5,0,no,5,10,10,10,3.5,TRUE
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,yes,0,10,11,12,2.5,TRUE
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,yes,3,12,12,13,4,TRUE
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,0,yes,5,10,11,11,1,FALSE
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,yes,0,14,14,15,1,FALSE
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,no,yes,yes,yes,yes,no,no,3,2,2,1,1,5,0,no,6,14,15,16,1,FALSE
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,no,1,12,12,12,1,FALSE
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,no,yes,no,yes,yes,yes,no,4,2,3,1,1,5,0,no,2,16,16,16,1,FALSE
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,no,yes,yes,yes,yes,no,no,2,4,4,2,3,4,0,no,3,14,14,14,2.5,TRUE
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,yes,yes,yes,no,yes,yes,yes,5,5,5,5,5,5,0,no,3,10,9,14,5,TRUE
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,yes,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,no,2,10,12,10,1,FALSE
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,0,yes,1,12,11,11,3,TRUE
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,yes,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,no,0,12,11,11,3,TRUE
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,no,yes,yes,yes,yes,yes,no,5,4,3,1,2,1,0,no,2,16,15,16,1.5,FALSE
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,no,yes,yes,no,yes,yes,yes,1,3,3,5,5,3,0,no,2,12,12,12,5,TRUE
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,0,yes,2,8,8,8,1.5,FALSE
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,0,yes,1,10,10,10,2,FALSE
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,no,yes,no,no,yes,yes,no,4,4,2,2,3,3,0,no,9,16,16,16,2.5,TRUE
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,no,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,yes,1,13,13,13,1,FALSE
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,no,0,10,10,10,1,FALSE
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,yes,yes,no,no,yes,yes,yes,3,3,4,2,4,5,1,no,2,10,8,8,3,TRUE
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,no,1,12,12,14,2,FALSE
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,0,yes,29,11,12,11,3,TRUE
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,no,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,0,yes,3,10,10,10,2.5,TRUE
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,no,4,12,11,10,1,FALSE
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,0,yes,0,12,12,12,2,FALSE
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,yes,yes,yes,yes,no,yes,no,4,5,1,1,1,3,3,no,1,8,8,10,1,FALSE
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,no,yes,no,yes,yes,yes,no,2,4,3,1,2,3,0,no,13,8,8,8,1.5,FALSE
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,0,yes,1,10,12,12,2,FALSE
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,yes,no,no,no,yes,yes,no,5,3,2,1,2,5,0,yes,3,10,10,10,1.5,FALSE
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,no,yes,no,yes,yes,yes,no,4,4,4,1,1,5,0,yes,7,10,8,8,1,FALSE
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,no,no,yes,yes,yes,yes,no,5,3,3,1,3,4,0,yes,3,14,14,14,2,FALSE
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,no,yes,yes,no,yes,yes,no,4,3,2,2,3,4,0,no,2,11,11,11,2.5,TRUE
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,1,yes,5,10,10,10,2.5,TRUE
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,no,yes,no,yes,yes,no,no,4,3,4,1,2,2,0,no,5,10,9,8,1.5,FALSE
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,1,0,no,4,14,14,14,2,FALSE
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,0,yes,9,12,10,10,1,FALSE
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,no,yes,no,yes,yes,no,no,4,1,3,3,5,5,0,no,12,8,8,8,4,TRUE
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,no,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,yes,1,8,9,10,2,FALSE
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,0,yes,5,15,15,16,2,FALSE
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,yes,yes,no,yes,yes,no,no,3,3,3,2,3,2,0,no,2,10,10,9,2.5,TRUE
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,yes,1,12,12,12,1,FALSE
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,no,yes,yes,yes,yes,yes,no,4,3,4,1,1,4,0,no,4,11,12,13,1,FALSE
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,0,yes,3,10,12,12,1,FALSE
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,4,0,no,4,10,13,13,1,FALSE
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,no,yes,no,yes,yes,no,yes,4,3,5,1,1,5,0,yes,1,10,10,11,1,FALSE
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,0,no,5,12,14,14,1.5,FALSE
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,yes,1,10,11,10,1,FALSE
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,0,yes,13,8,8,6,5,TRUE
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,no,yes,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,no,0,16,16,16,1,FALSE
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,no,yes,yes,no,yes,yes,no,5,3,3,1,1,5,0,no,3,11,13,13,1,FALSE
GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,0,yes,21,9,8,8,1,FALSE
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,no,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,yes,0,16,17,17,1,FALSE
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,yes,no,no,yes,yes,no,no,4,3,3,1,1,4,0,no,10,10,10,10,1,FALSE
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,0,yes,6,8,9,9,1,FALSE
GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,0,no,3,14,16,16,1,FALSE
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,no,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,0,yes,7,11,12,12,4,TRUE
GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,no,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,0,yes,3,14,15,15,1,FALSE
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,0,no,5,16,16,16,1,FALSE
GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,yes,yes,yes,yes,yes,yes,no,4,1,2,1,1,2,0,no,2,9,10,10,1,FALSE
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,yes,no,yes,yes,yes,yes,no,3,1,2,1,1,5,1,no,9,9,12,12,1,FALSE
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,0,no,10,18,18,18,1,FALSE
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,0,no,6,10,9,10,1,FALSE
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,no,yes,yes,yes,yes,yes,no,5,4,4,1,2,5,0,no,4,16,14,15,1.5,FALSE
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,no,yes,yes,yes,yes,no,no,4,4,3,1,1,2,0,no,3,14,14,15,1,FALSE
GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0,no,3,14,14,14,1,FALSE
GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,no,yes,yes,yes,yes,yes,no,5,2,4,1,4,5,1,no,17,10,9,10,2.5,TRUE
GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,0,no,4,14,13,14,1.5,FALSE
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,no,no,no,no,yes,yes,no,3,2,3,1,2,1,0,no,1,15,14,14,1.5,FALSE
GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,no,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,0,yes,6,15,14,14,1.5,FALSE
GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,no,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,0,yes,2,14,12,13,1.5,FALSE
GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,no,yes,yes,yes,yes,yes,no,3,4,4,1,4,5,0,no,11,13,12,13,2.5,TRUE
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,no,no,no,yes,yes,yes,yes,5,4,4,1,1,5,0,yes,0,10,9,10,1,FALSE
GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,yes,no,no,yes,yes,yes,no,5,5,5,3,2,5,0,no,1,11,11,10,2.5,TRUE
GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,yes,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,no,0,8,10,11,1,FALSE
GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,no,yes,no,no,no,no,no,3,4,2,1,1,5,2,no,1,8,9,10,1,FALSE
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,no,no,yes,yes,yes,yes,no,3,5,5,2,5,4,0,yes,8,16,16,16,3.5,TRUE
GP,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,no,yes,no,yes,yes,yes,yes,4,2,2,2,2,5,1,no,0,11,6,6,2,FALSE
GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,no,yes,yes,no,yes,yes,yes,4,3,3,1,2,4,0,no,3,10,6,6,1.5,FALSE
GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,no,yes,no,yes,yes,yes,yes,3,4,4,1,3,5,0,no,7,12,12,12,2,FALSE
GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,0,no,14,14,12,12,2.5,TRUE
GP,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,no,yes,no,yes,yes,no,yes,5,3,3,1,1,5,0,no,1,10,6,6,1,FALSE
GP,F,15,U,GT3,T,4,4,services,at_home,course,mother,1,3,no,yes,yes,yes,yes,yes,yes,4,3,3,1,1,5,0,no,2,12,7,8,1,FALSE
GP,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,no,no,no,yes,yes,no,no,5,4,5,2,4,5,0,no,1,10,4,5,3,TRUE
GP,F,16,U,GT3,A,3,3,other,other,course,other,2,1,no,yes,yes,no,yes,yes,yes,4,3,2,1,1,5,1,no,2,6,4,5,1,FALSE
GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,2,no,0,12,11,11,2,FALSE
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,no,3,14,15,14,1,FALSE
GP,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,yes,yes,no,yes,yes,yes,no,2,2,2,1,1,3,0,no,3,8,10,6,1,FALSE
GP,M,16,U,LE3,T,2,2,services,services,reputation,father,2,1,no,yes,yes,yes,yes,yes,no,2,3,3,2,2,2,1,no,6,10,10,10,2,FALSE
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,no,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,0,yes,2,11,12,12,1,FALSE
GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,no,no,no,yes,yes,yes,no,3,4,4,3,3,1,0,no,3,12,12,12,3,TRUE
GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,no,yes,no,yes,yes,yes,no,5,4,5,1,2,5,2,no,11,7,4,3,1.5,FALSE
GP,F,15,U,GT3,T,1,1,other,services,course,father,1,2,no,yes,no,yes,yes,yes,no,4,4,2,1,2,5,0,yes,0,10,12,12,1.5,FALSE
GP,F,15,U,GT3,T,3,2,health,services,home,father,1,2,no,yes,no,yes,yes,yes,no,3,3,2,1,1,3,2,no,1,8,9,6,1,FALSE
GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,no,yes,no,no,yes,yes,no,4,3,2,1,1,5,0,yes,4,12,12,12,1,FALSE
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,no,yes,no,yes,no,yes,yes,3,3,2,2,1,5,0,no,8,8,8,4,1.5,FALSE
GP,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,2,no,0,10,10,10,3.5,TRUE
GP,M,18,U,LE3,T,1,1,other,other,course,mother,1,1,no,no,no,yes,no,yes,yes,2,3,5,2,5,4,2,no,0,8,7,0,3.5,TRUE
GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,1,no,6,10,12,12,4,TRUE
GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,no,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,1,yes,5,12,12,12,2.5,TRUE
GP,M,19,U,GT3,T,3,2,services,at_home,home,mother,1,1,no,yes,no,yes,no,yes,yes,4,5,4,1,1,4,2,no,3,8,4,6,1,FALSE
GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,yes,yes,no,yes,yes,no,yes,4,2,1,1,1,4,0,no,0,12,12,12,1,FALSE
GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,yes,no,yes,yes,yes,no,no,4,4,4,1,1,1,0,yes,1,9,8,8,1,FALSE
GP,M,17,R,LE3,T,1,2,other,other,reputation,mother,1,1,no,no,no,yes,yes,no,no,2,2,2,3,3,5,2,no,11,12,10,12,3,TRUE
GP,F,18,R,GT3,T,1,1,at_home,other,course,mother,3,1,no,yes,yes,no,yes,no,no,5,2,5,1,5,4,3,no,6,10,9,10,3,TRUE
GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,no,no,no,no,yes,no,no,4,2,2,1,2,3,0,no,3,14,12,13,1.5,FALSE
GP,M,16,U,GT3,T,3,3,other,services,course,father,1,2,no,yes,no,yes,yes,yes,yes,4,5,5,4,4,5,1,yes,2,10,11,6,4,TRUE
GP,M,17,R,LE3,T,2,1,at_home,other,course,mother,2,1,no,no,yes,yes,no,yes,yes,3,3,2,2,2,5,2,no,4,8,7,4,2,FALSE
GP,M,17,R,LE3,T,1,1,other,services,course,mother,4,2,no,no,yes,yes,no,no,yes,5,3,5,1,5,5,2,no,0,6,8,8,3,TRUE
GP,M,16,U,GT3,T,2,2,other,other,course,father,1,2,no,no,no,yes,no,yes,no,4,3,5,2,4,4,0,no,2,10,10,10,3,TRUE
GP,F,16,U,GT3,T,4,2,health,services,home,father,1,2,no,no,no,yes,yes,yes,yes,4,2,3,1,1,3,0,yes,0,16,16,17,1,FALSE
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,no,yes,no,no,yes,yes,no,5,1,5,1,1,4,0,yes,0,9,10,6,1,FALSE
GP,F,16,U,GT3,T,4,4,health,health,reputation,mother,1,2,no,yes,no,yes,yes,yes,yes,4,4,2,1,1,3,0,yes,0,15,15,16,1,FALSE
