gender,age,attitude,deep,stra,surf,points
Male,21,4.8,3.5,2.25,2.5,29
Male,21,4,4.333333333333333,3.25,1.75,33
Female,21,4,4.25,3.625,2.25,33
Female,21,4.7,3.4166666666666665,3.625,2.0833333333333335,25
Female,26,2.3,3.0833333333333335,2.5,2.8333333333333335,18
Female,25,3.1,4.583333333333333,1.875,2.8333333333333335,22
Female,26,2.7,3.4166666666666665,2,2.4166666666666665,17
Male,21,4.1,3.4166666666666665,1.875,2.25,25
Female,23,3.4,3.4166666666666665,4,2.8333333333333335,28
Female,22,2.5,3.5833333333333335,2.875,2.25,22
Female,22,2.1,1.5833333333333333,3.875,1.8333333333333333,26
Female,22,1.4,3.3333333333333335,2.5,2.9166666666666665,11
Female,23,1.9,4.333333333333333,2.75,2.9166666666666665,29
Male,22,3.7,4.416666666666667,4.5,2.0833333333333335,22
Male,23,3.2,4.833333333333333,3.375,2.3333333333333335,21
Male,24,2.8,3.0833333333333335,2.625,2.4166666666666665,28
Female,22,4.1,3,4.125,2.75,33
Female,23,2.5,4.083333333333333,2.625,3.25,16
Male,22,2.8,4.083333333333333,2.25,1.75,31
Male,20,3.8,3.75,2.75,2.5833333333333335,22
Male,22,3.1,3.0833333333333335,3,3.3333333333333335,31
Male,21,3.5,4.75,1.625,2.8333333333333335,23
Female,22,3.6,4.25,1.875,2.5,26
Female,23,2.6,4.166666666666667,3.375,2.4166666666666665,12
Male,21,4.4,4.416666666666667,3.75,2.4166666666666665,26
Male,22,4.5,3.8333333333333335,2.125,2.5833333333333335,31
Male,29,3.2,3.3333333333333335,2.375,3,19
Female,29,3.9,3.1666666666666665,2.75,2,30
Female,21,2.5,3.1666666666666665,3.125,3.4166666666666665,12
Male,28,3.3,3.8333333333333335,3.5,2.8333333333333335,17
Female,21,3.3,4.25,2.625,2.25,18
Female,30,3,3.8333333333333335,3.375,2.75,19
Female,21,2.9,3.6666666666666665,2.25,3.9166666666666665,21
Male,23,3.3,3.8333333333333335,3,2.3333333333333335,24
Female,21,3.3,3.8333333333333335,4,2.75,28
Female,21,3.5,3.8333333333333335,3.5,2.75,17
Female,20,3.6,3.6666666666666665,2.625,2.9166666666666665,18
Male,22,3.7,4.333333333333333,2.5,2.0833333333333335,17
Male,21,4.2,3.75,3.75,3.6666666666666665,23
Male,21,3.2,4.166666666666667,3.625,2.8333333333333335,26
Female,20,5,4,4.125,3.4166666666666665,28
Male,22,4.7,4,4.375,1.5833333333333333,31
Female,20,3.6,4.583333333333333,2.625,2.9166666666666665,27
Female,20,3.6,3.6666666666666665,4,3,25
Male,24,2.9,3.6666666666666665,2.75,2.9166666666666665,23
Female,20,3.5,3.8333333333333335,2.75,2.6666666666666665,21
Female,19,4,2.5833333333333335,1.375,3,27
Female,21,3.5,3.5,2.25,2.75,28
Female,21,3.2,3.0833333333333335,3.625,3.0833333333333335,23
Female,22,2.6,4.25,3.75,2.5,21
Female,25,2,3.1666666666666665,4,2.3333333333333335,25
Female,21,2.7,3.0833333333333335,3.125,3,11
Female,22,3.2,4.166666666666667,3.25,3,19
Female,25,3.3,2.25,2.125,4,24
Female,20,3.9,3.3333333333333335,2.875,3.25,28
Male,24,3.3,3.0833333333333335,1.5,3.5,21
Female,20,3,2.75,2.5,3.5,24
Male,21,3.7,3.25,3.25,3.8333333333333335,24
Female,20,2.5,4,3.625,2.9166666666666665,20
Female,20,2.9,3.5833333333333335,3.875,2.1666666666666665,19
Male,31,3.9,4.083333333333333,3.875,1.6666666666666667,30
Female,20,3.6,4.25,2.375,2.0833333333333335,22
Female,22,2.9,3.4166666666666665,3,2.8333333333333335,16
Female,22,2.1,3.0833333333333335,3.375,3.4166666666666665,16
Male,21,3.1,3.5,2.75,3.3333333333333335,19
Male,22,4,3.6666666666666665,4.5,2.5833333333333335,30
Female,21,3.1,4.25,2.625,2.8333333333333335,23
Female,21,2.3,4.25,2.75,3.3333333333333335,19
Female,21,2.8,3.8333333333333335,3.25,3,18
Female,21,3.7,4.416666666666667,4.125,2.5833333333333335,28
Female,20,2.6,3.5,3.375,2.4166666666666665,21
Female,21,2.4,3.5833333333333335,2.75,3.5833333333333335,19
Female,25,3,3.6666666666666665,4.125,2.0833333333333335,27
Male,21,2.8,2.0833333333333335,3.25,4.333333333333333,24
Female,24,2.9,4.25,2.875,2.6666666666666665,21
Female,20,2.4,3.5833333333333335,2.875,3,20
Male,21,3.1,4,2.375,2.6666666666666665,28
Female,20,1.9,3.3333333333333335,3.875,2.1666666666666665,12
Female,20,2,3.5,2.125,2.6666666666666665,21
Female,18,3.8,3.1666666666666665,4,2.25,28
Female,21,3.4,3.5833333333333335,3.25,2.6666666666666665,31
Female,19,3.7,3.4166666666666665,2.625,3.3333333333333335,18
Female,21,2.9,4.25,2.75,3.5,25
Female,20,2.3,3.25,4,2.75,19
Male,21,4.1,4.416666666666667,3,2,21
Female,20,2.7,3.25,3.375,2.8333333333333335,16
Female,21,3.5,3.9166666666666665,3.875,3.5,7
Female,20,3.4,3.5833333333333335,3.25,2.5,21
Female,18,3.2,4.5,3.375,3.1666666666666665,17
Male,22,3.3,3.5833333333333335,4.125,3.0833333333333335,22
Female,22,3.3,3.6666666666666665,3.5,2.9166666666666665,18
Male,24,3.5,2.5833333333333335,2,3.1666666666666665,25
Female,19,3.2,4.166666666666667,3.625,2.5,24
Female,20,3.1,3.25,3.375,3.8333333333333335,23
Female,20,2.8,4.333333333333333,2.125,2.25,23
Female,17,1.7,3.9166666666666665,4.625,3.4166666666666665,26
Male,19,1.9,2.6666666666666665,2.5,3.75,12
Female,20,3.5,3.0833333333333335,2.875,3,32
Female,20,2.4,3.75,2.75,2.5833333333333335,22
Female,20,2.1,4.166666666666667,4,3.3333333333333335,20
Female,20,2.9,4.166666666666667,2.375,2.8333333333333335,21
Female,19,1.9,3.25,3.875,3,23
Female,19,2,4.083333333333333,3.375,2.8333333333333335,20
Female,22,4.2,2.9166666666666665,1.75,3.1666666666666665,28
Male,35,4.1,3.8333333333333335,3,2.75,31
Female,18,3.7,3.1666666666666665,2.625,3.4166666666666665,18
Female,19,3.6,3.4166666666666665,2.625,3,30
Male,21,1.8,4.083333333333333,3.375,2.6666666666666665,19
