school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,failures,paid,absences,G1,G2,G3,alc_use,high_use,family.quality,in.class.performance,off.class.performance,social,probability,prediction,random.guess,prediction.guess
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,yes,yes,yes,yes,yes,no,no,5,3,2,1,1,4,0,no,3,10,12,12,1,FALSE,5,3,Moderate to long study,Infrequent,0.07880612449335736,FALSE,0.32609113142825663,FALSE
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,no,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,3,no,9,7,6,6,3,TRUE,5,9,Light study,Frequent,0.7975455366155275,TRUE,0.3646392123773694,FALSE
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,0,yes,5,10,11,11,2,FALSE,3,5,Light study,Infrequent,0.3224430776184355,FALSE,0.21361076249741018,FALSE
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,no,0,12,14,14,1,FALSE,4,0,Moderate to long study,Infrequent,0.11669643689269424,FALSE,0.47655846597626805,FALSE
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,no,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,yes,0,12,14,14,1,FALSE,5,0,Light study,Infrequent,0.14338247749095603,FALSE,0.6897601007949561,TRUE
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,no,1,14,14,15,2,FALSE,4,1,Moderate to long study,Infrequent,0.12427652934291523,FALSE,0.9503103827591985,TRUE
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,no,yes,yes,yes,yes,yes,no,5,4,4,2,4,5,0,no,1,12,12,11,3,TRUE,5,1,Moderate to long study,Frequent,0.5543884449297708,TRUE,0.09998915530741215,FALSE
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,yes,2,10,10,9,1,FALSE,4,2,Moderate to long study,Infrequent,0.1066407586916358,FALSE,0.5950228846631944,TRUE
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,no,yes,no,no,yes,yes,no,1,2,2,1,3,5,1,yes,10,8,10,10,2,FALSE,1,10,Light study,Infrequent,0.5600114481794852,TRUE,0.8289982192218304,TRUE
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,no,yes,no,yes,yes,yes,no,4,2,2,1,2,5,0,yes,5,12,12,12,1.5,FALSE,4,5,Light study,Infrequent,0.2523454429095021,FALSE,0.7104989460203797,TRUE
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,yes,2,13,14,13,3,TRUE,2,2,Light study,Frequent,0.8699919291900637,TRUE,0.25410726573318243,FALSE
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,0,no,3,12,12,12,1,FALSE,5,3,Moderate to long study,Infrequent,0.10405001129387842,FALSE,0.8823378237430006,TRUE
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,no,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,0,yes,10,11,12,12,5,TRUE,4,10,Moderate to long study,Frequent,0.7695830757770165,TRUE,0.7074695653282106,TRUE
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,no,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,yes,0,10,11,12,3.5,TRUE,5,0,Moderate to long study,Infrequent,0.08567162810134797,FALSE,0.4261379144154489,FALSE
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,no,yes,yes,yes,yes,yes,no,4,3,1,1,1,5,0,no,1,16,16,16,1,FALSE,4,1,Moderate to long study,Infrequent,0.12427652934291523,FALSE,0.9699366968125105,TRUE
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,no,yes,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,no,0,15,15,16,1,FALSE,4,0,Moderate to long study,Infrequent,0.11669643689269424,FALSE,0.09896454773843288,FALSE
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,no,0,10,11,12,1,FALSE,5,0,Moderate to long study,Infrequent,0.08567162810134797,FALSE,0.2198835420422256,FALSE
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,no,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,yes,2,12,13,14,1,FALSE,5,2,Light study,Infrequent,0.16187099088224136,FALSE,0.10475390451028943,FALSE
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,no,yes,yes,yes,yes,no,no,3,5,1,1,1,5,0,no,2,10,9,8,1,FALSE,3,2,Light study,Infrequent,0.24220614186628198,FALSE,0.3761266202200204,FALSE
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,no,yes,yes,yes,yes,yes,no,5,4,3,1,1,4,0,no,1,14,15,16,1,FALSE,5,1,Moderate to long study,Infrequent,0.09144511394976292,FALSE,0.20711627881973982,FALSE
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,no,yes,yes,yes,yes,yes,yes,2,4,3,1,1,5,0,no,6,14,14,14,1,FALSE,2,6,Moderate to long study,Infrequent,0.2874845723634546,FALSE,0.9612445286475122,TRUE
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,yes,2,12,12,12,1,FALSE,4,2,Moderate to long study,Infrequent,0.1066407586916358,FALSE,0.9506419976241887,TRUE
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,0,yes,8,14,13,12,1,FALSE,4,8,Light study,Infrequent,0.24675019340817675,FALSE,0.9537601945921779,TRUE
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,no,yes,yes,no,yes,yes,yes,3,3,3,1,2,3,0,no,20,9,10,10,1.5,FALSE,3,20,Moderate to long study,Infrequent,0.3934379449083521,FALSE,0.1738147046416998,FALSE
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,no,yes,no,no,yes,yes,yes,5,4,3,2,4,5,0,no,8,11,12,12,3,TRUE,5,8,Light study,Infrequent,0.2288065950274848,FALSE,0.5377204427495599,TRUE
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,no,yes,yes,yes,yes,yes,no,4,3,3,1,1,5,0,no,1,16,16,16,1,FALSE,4,1,Moderate to long study,Infrequent,0.12427652934291523,FALSE,0.3854611173737794,FALSE
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,yes,yes,no,yes,yes,yes,no,5,4,1,1,1,1,0,no,0,8,9,10,1,FALSE,5,0,Light study,Infrequent,0.14338247749095603,FALSE,0.11275274259969592,FALSE
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,yes,no,yes,yes,yes,yes,no,4,3,3,2,2,5,1,no,14,10,10,10,2,FALSE,4,14,Moderate to long study,Infrequent,0.2197879596382889,FALSE,0.5959240151569247,TRUE
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,0,yes,6,9,10,8,1,FALSE,5,6,Moderate to long study,Infrequent,0.09586613215679075,FALSE,0.08470080280676484,FALSE
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,no,yes,no,yes,yes,yes,no,2,3,5,1,4,3,0,no,9,12,12,12,2.5,TRUE,2,9,Moderate to long study,Frequent,0.550714223973019,TRUE,0.6847404763102531,TRUE
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,0,no,3,18,18,18,1,FALSE,4,3,Moderate to long study,Infrequent,0.14070608774780288,FALSE,0.8921506404876709,TRUE
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,no,yes,no,yes,yes,no,no,4,3,3,2,2,5,0,yes,3,13,14,14,2,FALSE,4,3,Moderate to long study,Infrequent,0.14070608774780288,FALSE,0.5491301191505045,TRUE
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,yes,yes,yes,no,yes,yes,no,4,4,4,1,1,3,0,no,2,10,10,10,1,FALSE,4,2,Moderate to long study,Frequent,0.24848248696604014,FALSE,0.0013019016478210688,FALSE
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,no,yes,no,yes,yes,yes,no,4,3,3,2,3,4,0,yes,1,13,13,13,2.5,TRUE,4,1,Moderate to long study,Infrequent,0.10001348921243243,FALSE,0.11412251810543239,FALSE
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,0,yes,1,14,14,14,1,FALSE,4,1,Moderate to long study,Infrequent,0.10001348921243243,FALSE,0.3159372869413346,FALSE
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,no,no,no,yes,yes,no,no,5,5,5,3,4,5,0,no,5,10,10,10,3.5,TRUE,5,5,Light study,Frequent,0.7474044920019388,TRUE,0.9221015970688313,TRUE
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,yes,0,10,11,12,2.5,TRUE,3,0,Light study,Frequent,0.4341534771077455,FALSE,0.4616430902387947,FALSE
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,yes,3,12,12,13,4,TRUE,5,3,Light study,Frequent,0.29740481119733475,FALSE,0.7801245979499072,TRUE
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,0,yes,5,10,11,11,1,FALSE,5,5,Moderate to long study,Frequent,0.21470818982643983,FALSE,0.9986376313026994,TRUE
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,yes,0,14,14,15,1,FALSE,4,0,Moderate to long study,Infrequent,0.09375485346163172,FALSE,0.23751924256794155,FALSE
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,no,yes,yes,yes,yes,no,no,3,2,2,1,1,5,0,no,6,14,15,16,1,FALSE,3,6,Moderate to long study,Infrequent,0.22249118268548732,FALSE,0.3090176365803927,FALSE
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,no,1,12,12,12,1,FALSE,4,1,Moderate to long study,Infrequent,0.12427652934291523,FALSE,0.5074528162367642,TRUE
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,no,yes,no,yes,yes,yes,no,4,2,3,1,1,5,0,no,2,16,16,16,1,FALSE,4,2,Moderate to long study,Infrequent,0.1066407586916358,FALSE,0.5078142525162548,TRUE
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,no,yes,yes,yes,yes,no,no,2,4,4,2,3,4,0,no,3,14,14,14,2.5,TRUE,2,3,Moderate to long study,Frequent,0.4438001319794426,FALSE,0.39329611230641603,FALSE
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,yes,yes,yes,no,yes,yes,yes,5,5,5,5,5,5,0,no,3,10,9,14,5,TRUE,5,3,Light study,Frequent,0.29740481119733475,FALSE,0.38934195996262133,FALSE
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,yes,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,no,2,10,12,10,1,FALSE,4,2,Moderate to long study,Infrequent,0.1066407586916358,FALSE,0.9498026431538165,TRUE
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,0,yes,1,12,11,11,3,TRUE,3,1,Moderate to long study,Frequent,0.31570835744800785,FALSE,0.3514448048081249,FALSE
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,yes,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,no,0,12,11,11,3,TRUE,4,0,Moderate to long study,Frequent,0.22273033559822802,FALSE,0.7162347962148488,TRUE
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,no,yes,yes,yes,yes,yes,no,5,4,3,1,2,1,0,no,2,16,15,16,1.5,FALSE,5,2,Moderate to long study,Infrequent,0.07376582695500794,FALSE,0.1874961839057505,FALSE
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,no,yes,yes,no,yes,yes,yes,1,3,3,5,5,3,0,no,2,12,12,12,5,TRUE,1,2,Moderate to long study,Infrequent,0.29937746678914917,FALSE,0.8702864891383797,TRUE
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,0,yes,2,8,8,8,1.5,FALSE,4,2,Moderate to long study,Infrequent,0.1066407586916358,FALSE,0.707023783121258,TRUE
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,0,yes,1,10,10,10,2,FALSE,4,1,Moderate to long study,Infrequent,0.10001348921243243,FALSE,0.5368321579881012,TRUE
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,no,yes,no,no,yes,yes,no,4,4,2,2,3,3,0,no,9,16,16,16,2.5,TRUE,4,9,Moderate to long study,Infrequent,0.16456306114208497,FALSE,0.39144195592962205,FALSE
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,no,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,yes,1,13,13,13,1,FALSE,4,1,Moderate to long study,Infrequent,0.12427652934291523,FALSE,0.8412568995263427,TRUE
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,no,0,10,10,10,1,FALSE,3,0,Moderate to long study,Infrequent,0.15702691896734383,FALSE,0.3625863988418132,FALSE
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,yes,yes,no,no,yes,yes,yes,3,3,4,2,4,5,1,no,2,10,8,8,3,TRUE,3,2,Moderate to long study,Frequent,0.33136593229482453,FALSE,0.9831723065581173,TRUE
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,no,1,12,12,14,2,FALSE,5,1,Light study,Infrequent,0.15239691281519158,FALSE,0.16408290201798081,FALSE
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,0,yes,29,11,12,11,3,TRUE,4,29,Moderate to long study,Infrequent,0.4517439692251095,FALSE,0.3413659364450723,FALSE
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,no,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,0,yes,3,10,10,10,2.5,TRUE,4,3,Moderate to long study,Infrequent,0.14070608774780288,FALSE,0.17046906589530408,FALSE
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,no,4,12,11,10,1,FALSE,3,4,Moderate to long study,Infrequent,0.19872043260081165,FALSE,0.3526943263132125,FALSE
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,0,yes,0,12,12,12,2,FALSE,5,0,Moderate to long study,Infrequent,0.06456525715389917,FALSE,0.4851598418317735,FALSE
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,yes,yes,yes,yes,no,yes,no,4,5,1,1,1,3,3,no,1,8,8,10,1,FALSE,4,1,Light study,Infrequent,0.2022406052669307,FALSE,0.9745321637019515,TRUE
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,no,yes,no,yes,yes,yes,no,2,4,3,1,2,3,0,no,13,8,8,8,1.5,FALSE,2,13,Moderate to long study,Infrequent,0.3707414876866037,FALSE,0.27620580862276256,FALSE
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,0,yes,1,10,12,12,2,FALSE,3,1,Light study,Infrequent,0.2633218990233743,FALSE,0.12165696010924876,FALSE
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,yes,no,no,no,yes,yes,no,5,3,2,1,2,5,0,yes,3,10,10,10,1.5,FALSE,5,3,Moderate to long study,Infrequent,0.10405001129387842,FALSE,0.8015291930641979,TRUE
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,no,yes,no,yes,yes,yes,no,4,4,4,1,1,5,0,yes,7,10,8,8,1,FALSE,4,7,Moderate to long study,Frequent,0.3210471709381398,FALSE,0.5074896833393723,TRUE
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,no,no,yes,yes,yes,yes,no,5,3,3,1,3,4,0,yes,3,14,14,14,2,FALSE,5,3,Moderate to long study,Infrequent,0.10405001129387842,FALSE,0.9304185071960092,TRUE
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,no,yes,yes,no,yes,yes,no,4,3,2,2,3,4,0,no,2,11,11,11,2.5,TRUE,4,2,Moderate to long study,Infrequent,0.1066407586916358,FALSE,0.8060339807998389,TRUE
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,1,yes,5,10,10,10,2.5,TRUE,4,5,Moderate to long study,Frequent,0.29068345276733604,FALSE,0.34744500694796443,FALSE
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,no,yes,no,yes,yes,no,no,4,3,4,1,2,2,0,no,5,10,9,8,1.5,FALSE,4,5,Moderate to long study,Frequent,0.29068345276733604,FALSE,0.04305866337381303,FALSE
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,1,0,no,4,14,14,14,2,FALSE,5,4,Moderate to long study,Infrequent,0.08415952481328877,FALSE,0.13976610894314945,FALSE
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,0,yes,9,12,10,10,1,FALSE,4,9,Moderate to long study,Infrequent,0.20098851945246507,FALSE,0.27982239704579115,FALSE
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,no,yes,no,yes,yes,no,no,4,1,3,3,5,5,0,no,12,8,8,8,4,TRUE,4,12,Moderate to long study,Infrequent,0.23767434531293768,FALSE,0.4177533534821123,FALSE
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,no,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,yes,1,8,9,10,2,FALSE,4,1,Moderate to long study,Infrequent,0.10001348921243243,FALSE,0.6214123084209859,TRUE
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,0,yes,5,15,15,16,2,FALSE,4,5,Light study,Frequent,0.42265720205519774,FALSE,0.9134366491343826,TRUE
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,yes,yes,no,yes,yes,no,no,3,3,3,2,3,2,0,no,2,10,10,9,2.5,TRUE,3,2,Moderate to long study,Infrequent,0.15176628366092174,FALSE,0.5776053946465254,TRUE
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,yes,1,12,12,12,1,FALSE,5,1,Moderate to long study,Infrequent,0.06902374315370186,FALSE,0.3269130561966449,FALSE
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,no,yes,yes,yes,yes,yes,no,4,3,4,1,1,4,0,no,4,11,12,13,1,FALSE,4,4,Moderate to long study,Frequent,0.6849572885425184,TRUE,0.3560094649437815,FALSE
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,0,yes,3,10,12,12,1,FALSE,3,3,Moderate to long study,Infrequent,0.16120861374911435,FALSE,0.8282909449189901,TRUE
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,4,0,no,4,10,13,13,1,FALSE,3,4,Light study,Infrequent,0.30701352912795776,FALSE,0.41307697468437254,FALSE
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,no,yes,no,yes,yes,no,yes,4,3,5,1,1,5,0,yes,1,10,10,11,1,FALSE,4,1,Moderate to long study,Frequent,0.23536270351966376,FALSE,0.9280930748209357,TRUE
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,0,no,5,12,14,14,1.5,FALSE,5,5,Light study,Frequent,0.32814581576893564,FALSE,0.19344942411407828,FALSE
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,yes,1,10,11,10,1,FALSE,5,1,Moderate to long study,Frequent,0.17037351967380812,FALSE,0.8193812391255051,TRUE
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,0,yes,13,8,8,6,5,TRUE,4,13,Light study,Frequent,0.8808816695616488,TRUE,0.48138759518042207,FALSE
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,no,yes,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,no,0,16,16,16,1,FALSE,4,0,Moderate to long study,Infrequent,0.11669643689269424,FALSE,0.3584762786049396,FALSE
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,no,yes,yes,no,yes,yes,no,5,3,3,1,1,5,0,no,3,11,13,13,1,FALSE,5,3,Light study,Infrequent,0.17181465584798838,FALSE,0.8948445990681648,TRUE
GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,0,yes,21,9,8,8,1,FALSE,4,21,Moderate to long study,Frequent,0.5628558019475002,TRUE,0.46985648572444916,FALSE
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,no,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,yes,0,16,17,17,1,FALSE,5,0,Moderate to long study,Frequent,0.5366507136105556,TRUE,0.8264131338801235,TRUE
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,yes,no,no,yes,yes,no,no,4,3,3,1,1,4,0,no,10,10,10,10,1,FALSE,4,10,Moderate to long study,Infrequent,0.17463764075899535,FALSE,0.8682936087716371,TRUE
